"station_id","station_name","address","latitude","longitude","charger_type","charger_count","ac_charger_count","dc_charger_count","status","indoor_outdoor","source","mevnet_object_id","source_url","data_date","source_data_date_original","state","state_original","pbt","pbt_code","location","proposed_charger_count","category","indoor_count","outdoor_count","network_counts","coordinate_valid","include_for_existing_coverage"
"6d65766e-6574-5000-8000-000000000054","WEIL HOTEL / IPOH PARADE","","4.5946965","101.090079","AC Charger","9","9","0","Existing","Indoor","MEVnet / PLANMalaysia","84","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2024-12-31","31-Dec-24","Perak","PERAK","Majlis Bandaraya Ipoh","208301","WEIL HOTEL / IPOH PARADE","2","Hotel & Resort","9","0","{""BMW"":3,""Others"":6}","TRUE","TRUE"
"6d65766e-6574-5000-8000-000000000055","Kellie's Castle","","4.4751613","101.0874278","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","85","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Batu Gajah","208307","Kellie's Castle","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000056","Lotus's Kampar","","4.3352325","101.1543367","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","86","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Kampar","208308","Lotus's Kampar","6","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000057","Kompleks Pelancongan Bagan Datoh","","3.9921874","100.7874152","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","87","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Teluk Intan","208314","Kompleks Pelancongan Bagan Datoh","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000058","Dewan Serbaguna Dato' Haji Abdullah Ahmad","","3.8964536","100.9358654","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","88","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Teluk Intan","208314","Dewan Serbaguna Dato' Haji Abdullah Ahmad","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000059","Billion Pasaraya (Hutan Melintang)","","3.8946754","100.9304479","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","89","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Teluk Intan","208314","Billion Pasaraya (Hutan Melintang)","3","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000005a","Pejabat Daerah dan Tanah Batang Padang","","4.1977293","101.2576637","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","90","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Tapah","208312","Pejabat Daerah dan Tanah Batang Padang","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000005b","Dewan Komuniti Chenderiang","","4.260831","101.2333773","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","91","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Tapah","208312","Dewan Komuniti Chenderiang","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000005c","Petronas Sungkai","","3.997993","101.310692","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","92","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Tapah","208312","Petronas Sungkai","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000005d","Petron Sungkai Southbound","","3.9967013","101.3121401","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","93","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Tapah","208312","Petron Sungkai Southbound","2","","0","0","{}","TRUE","FALSE"
